iter	MultiClass
0	1.813834814
1	1.676391711
2	1.552019921
3	1.45248633
4	1.344770859
5	1.236259538
6	1.176706063
7	1.109833273
8	1.062618157
9	1.004027438
10	0.9404076357
11	0.9068072528
12	0.850220168
13	0.8003705837
14	0.7551950033
15	0.730031842
16	0.6969644933
17	0.6637450967
18	0.6296956312
19	0.6071203821
20	0.584598106
21	0.5541769254
22	0.5396486854
23	0.5305476517
24	0.5112535402
25	0.4982055035
26	0.48413959
27	0.4707573852
28	0.4546774808
29	0.4385022778
30	0.4227935753
31	0.4077116132
32	0.396319808
33	0.3813853897
34	0.3685067667
35	0.3630628671
36	0.3561793032
37	0.3445507823
38	0.3348313152
39	0.3245897644
40	0.313443338
41	0.3071251588
42	0.2987673062
43	0.2903165251
44	0.2826112922
45	0.2756107774
46	0.2672142045
47	0.26037203
48	0.254966905
49	0.2497288105
50	0.2461808077
51	0.2415072033
52	0.2376539089
53	0.2315877056
54	0.2275079848
55	0.2244838855
56	0.2221572459
57	0.2182403096
58	0.2123014082
59	0.208133387
60	0.205290838
61	0.204204387
62	0.203331487
63	0.2000780385
64	0.1985648964
65	0.1972665813
66	0.1954055384
67	0.1930027041
68	0.1879961744
69	0.1856270309
70	0.1826135885
71	0.1804567997
72	0.1771598014
73	0.1751117487
74	0.1739298552
75	0.1720626789
76	0.1699727429
77	0.1672749654
78	0.1658883059
79	0.1645192116
80	0.1624219607
81	0.1615354636
82	0.1610949405
83	0.1574822993
84	0.1539465836
85	0.1514537976
86	0.1503978415
87	0.1491727186
88	0.1486405235
89	0.1464225138
90	0.1459139448
91	0.1431395209
92	0.1425350088
93	0.1407616033
94	0.1383881627
95	0.1366690793
96	0.134466815
97	0.1322954537
98	0.1304421349
99	0.1292869168
100	0.1287350373
101	0.1280947396
102	0.1275623301
103	0.1255793043
104	0.1243854654
105	0.1227113811
106	0.121911099
107	0.1214583875
108	0.1202510893
109	0.118879389
110	0.1175122231
111	0.1174139613
112	0.1157493595
113	0.1140807146
114	0.1130972775
115	0.1127876277
116	0.1112100726
117	0.1104446106
118	0.1096107901
119	0.108789183
120	0.1086537443
121	0.108048203
122	0.1066288072
123	0.1055980874
124	0.1047366153
125	0.1035268164
126	0.1029349057
127	0.1027737856
128	0.1019637199
129	0.1017178819
130	0.1010331241
131	0.09986361663
132	0.09954626341
133	0.09883999049
134	0.09854561967
135	0.09802704712
136	0.09701536999
137	0.09652906549
138	0.09618322779
139	0.09475054895
140	0.09451725902
141	0.09428723835
142	0.09375149061
143	0.09309991995
144	0.09284796475
145	0.09246763521
146	0.09105809978
147	0.09037471566
148	0.08960331247
149	0.08919161404
150	0.08887857963
151	0.08822234782
152	0.08781721993
153	0.08752556761
154	0.08617220106
155	0.08564008636
156	0.08450036465
157	0.08433341574
158	0.08397216794
159	0.08321533979
160	0.08295265129
161	0.08223044986
162	0.08176636656
163	0.08148121345
164	0.08120370873
165	0.0804479094
166	0.07947905252
167	0.0792035442
168	0.07824049868
169	0.07801051911
170	0.07747207636
171	0.07726990655
172	0.07712349973
173	0.07690493785
174	0.07636632682
175	0.07605717445
176	0.07556332294
177	0.07536388479
178	0.07490613427
179	0.07447922896
180	0.074364904
181	0.07386110116
182	0.07338287579
183	0.07329118714
184	0.07297923624
185	0.07275779474
186	0.07240654746
187	0.07172473191
188	0.0712648027
189	0.0703808957
190	0.07008061054
191	0.06995513543
192	0.06974821768
193	0.06934719981
194	0.06919581438
195	0.06901388115
196	0.06859735892
197	0.06849114917
198	0.06785478866
199	0.06757911369
200	0.06699022987
201	0.06678755447
202	0.0664360715
203	0.06632972152
204	0.06601980049
205	0.06594212295
206	0.06570825068
207	0.06562132434
208	0.06494258045
209	0.0645221042
210	0.06408156076
211	0.06344420091
212	0.06316406716
213	0.06284861008
214	0.06266711098
215	0.06228380773
216	0.06213148224
217	0.06188478969
218	0.06168145312
219	0.06158576913
220	0.06100418255
221	0.06088034854
222	0.06024716193
223	0.06007022393
224	0.05998798316
225	0.05974354542
226	0.05958242147
227	0.05936156066
228	0.05913615942
229	0.05891142819
230	0.05843972244
231	0.05829344907
232	0.05814356712
233	0.05771155367
234	0.05751585474
235	0.05715211479
236	0.05668773794
237	0.05651354747
238	0.05629506854
239	0.05602464026
240	0.05580375814
241	0.05557654384
242	0.05531323752
243	0.05505232096
244	0.05474893083
245	0.05436666821
246	0.05419038154
247	0.05389790411
248	0.0535981893
249	0.05333510947
250	0.05321254646
251	0.05311873866
252	0.05281759858
253	0.0527345561
254	0.05240289103
255	0.05236122836
256	0.0522189011
257	0.05211024207
258	0.05178610362
259	0.05168182868
260	0.05143164884
261	0.05136602773
262	0.05094252797
263	0.05060787653
264	0.05043872897
265	0.05035906107
266	0.05023486585
267	0.05015932483
268	0.04989210388
269	0.04955103888
270	0.04920064889
271	0.04878110259
272	0.04834037499
273	0.04784503055
274	0.04770664834
275	0.04752524772
276	0.04743435202
277	0.04702001389
278	0.04692860442
279	0.04675422235
280	0.0465546723
281	0.04639738849
282	0.04629335157
283	0.04599967558
284	0.04590488839
285	0.04583455318
286	0.04577072886
287	0.04571796922
288	0.04562637607
289	0.04555135638
290	0.04527739369
291	0.04503619334
292	0.04495006524
293	0.04477088637
294	0.04458449707
295	0.04453874876
296	0.04415925855
297	0.04411457452
298	0.04390439866
299	0.04378163525
300	0.04359398133
301	0.04344556232
302	0.0433015303
303	0.04320352216
304	0.04305862688
305	0.04287989139
306	0.0428300585
307	0.04263857314
308	0.04254954856
309	0.04246109867
310	0.04201207125
311	0.04198392163
312	0.0418397529
313	0.04171319279
314	0.04167251175
315	0.04138151802
316	0.04116870791
317	0.04113133723
318	0.04069661118
319	0.04057273718
320	0.04039470412
321	0.04021568682
322	0.04014166021
323	0.04003317249
324	0.0399273405
325	0.03989566197
326	0.03971409391
327	0.0394998912
328	0.03945197642
329	0.03941978089
330	0.03930194764
331	0.03903728567
332	0.03895281091
333	0.03891576924
334	0.03870698773
335	0.03869110465
336	0.03840098108
337	0.03810093251
338	0.03786993548
339	0.03774244789
340	0.03770327846
341	0.0376321202
342	0.0373202102
343	0.03706161894
344	0.03701838805
345	0.03692750698
346	0.03691500173
347	0.03689197411
348	0.03686181978
349	0.03674361599
350	0.03662584948
351	0.03657744167
352	0.03643292411
353	0.03639024965
354	0.03628983275
355	0.0360448133
356	0.03584928545
357	0.03569804981
358	0.03565720597
359	0.0353539152
360	0.0352729924
361	0.03524657083
362	0.03516135522
363	0.03508077797
364	0.0348478288
365	0.03465065434
366	0.03436675913
367	0.03424238331
368	0.03419178427
369	0.03413992582
370	0.03404970393
371	0.03389175173
372	0.03387741582
373	0.03361603655
374	0.03357993742
375	0.03349265232
376	0.03343919755
377	0.03336944095
378	0.03330222442
379	0.03328378547
380	0.03323387765
381	0.03314161845
