iter	Passed	Remaining
399	29592	44388
400	29644	44281
401	29701	44183
402	29766	44096
403	29827	44002
404	29885	43905
405	29950	43818
406	30023	43743
407	30087	43656
408	30150	43567
409	30228	43499
410	30292	43412
411	30369	43342
412	30430	43250
413	30495	43164
414	30570	43092
415	30648	43025
416	30713	42939
417	30773	42846
418	30853	42782
419	30945	42734
420	31021	42663
421	31110	42610
422	31194	42551
423	31274	42485
424	31353	42419
425	31432	42352
426	31502	42273
427	31572	42195
428	31636	42108
429	31699	42020
430	31776	41950
431	31840	41864
432	31932	41814
433	31991	41721
434	32070	41654
435	32165	41608
436	32230	41524
437	32281	41420
438	32361	41355
439	32413	41253
440	32492	41187
441	32555	41099
442	32637	41036
443	32715	40968
444	32791	40897
445	32855	40811
446	32939	40750
447	33014	40678
448	33076	40591
449	33137	40501
450	33202	40416
451	33282	40351
452	33326	40242
453	33373	40135
454	33435	40049
455	33516	39984
456	33574	39892
457	33662	39836
458	33718	39742
459	33780	39655
460	33843	39570
461	33906	39483
462	33985	39417
463	34062	39347
464	34143	39283
465	34204	39195
466	34283	39129
467	34346	39043
468	34420	38970
469	34486	38888
470	34564	38820
471	34639	38749
472	34717	38680
473	34783	38599
474	34843	38510
475	34905	38425
476	34970	38343
477	35028	38252
478	35108	38186
479	35169	38100
480	35231	38014
481	35293	37930
482	35374	37864
483	35453	37797
484	35534	37732
485	35608	37660
486	35687	37592
487	35751	37509
488	35826	37438
489	35889	37354
490	35982	37302
491	36061	37234
492	36127	37153
493	36187	37066
494	36298	37031
495	36362	36949
496	36425	36864
497	36485	36778
498	36565	36711
499	36643	36643
500	36721	36574
501	36785	36492
502	36845	36405
503	36909	36324
504	36969	36237
505	37051	36172
506	37143	36117
507	37205	36033
508	37270	35952
509	37350	35885
510	37428	35817
511	37517	35758
512	37595	35690
513	37676	35623
514	37768	35567
515	37846	35499
516	37928	35433
517	37987	35347
518	38067	35280
519	38131	35197
520	38191	35112
521	38256	35031
522	38334	34962
523	38398	34881
524	38459	34796
525	38521	34713
526	38616	34659
527	38680	34577
528	38757	34508
529	38820	34426
530	38881	34341
531	38944	34259
532	39006	34176
533	39099	34120
534	39165	34041
535	39226	33957
536	39288	33874
537	39355	33795
538	39440	33732
539	39509	33656
540	39572	33574
541	39650	33505
542	39711	33422
543	39773	33339
544	39838	33259
545	39928	33200
546	40008	33133
547	40085	33063
548	40151	32984
549	40212	32901
550	40273	32818
551	40352	32749
552	40447	32694
553	40510	32613
554	40593	32547
555	40647	32459
556	40726	32391
557	40791	32311
558	40875	32246
559	40944	32170
560	41026	32104
561	41102	32033
562	41172	31958
563	41228	31871
564	41291	31791
565	41363	31717
566	41432	31640
567	41510	31571
568	41574	31491
569	41637	31410
570	41699	31329
571	41779	31261
572	41857	31192
573	41916	31108
574	41994	31039
575	42073	30970
576	42153	30902
577	42215	30821
578	42277	30740
579	42340	30660
580	42405	30581
581	42468	30501
582	42547	30432
583	42626	30364
584	42703	30293
585	42766	30213
586	42842	30143
587	42905	30063
588	42964	29980
589	43026	29899
590	43091	29821
591	43154	29741
592	43206	29654
593	43261	29569
594	43324	29489
595	43388	29411
596	43450	29330
597	43502	29244
598	43558	29159
599	43637	29091
600	43701	29013
601	43764	28934
602	43825	28853
603	43888	28774
604	43947	28693
605	44042	28634
606	44120	28565
607	44201	28498
608	44278	28428
609	44356	28359
610	44432	28288
611	44495	28209
612	44562	28133
613	44635	28060
614	44699	27982
615	44759	27901
616	44837	27832
617	44899	27753
618	44965	27676
619	45021	27594
620	45083	27514
621	45147	27436
622	45209	27357
623	45273	27280
624	45351	27211
625	45430	27141
626	45510	27074
627	45604	27013
628	45682	26944
629	45762	26876
630	45837	26805
631	45900	26726
632	45980	26658
633	46040	26578
634	46121	26510
635	46181	26431
636	46246	26354
637	46338	26292
638	46401	26214
639	46481	26145
640	46544	26067
641	46604	25988
642	46666	25909
643	46746	25841
644	46825	25772
645	46882	25691
646	46977	25630
647	47047	25556
648	47103	25475
649	47182	25406
650	47246	25328
651	47305	25249
652	47406	25191
653	47466	25112
654	47530	25035
655	47605	24963
656	47670	24887
657	47730	24808
658	47792	24730
659	47853	24651
660	47918	24575
661	47978	24496
662	48032	24414
663	48121	24350
664	48201	24282
665	48279	24212
666	48333	24130
667	48403	24056
668	48468	23980
669	48529	23902
670	48607	23832
671	48701	23770
672	48765	23694
673	48841	23623
674	48918	23553
675	48983	23477
676	49064	23408
677	49124	23330
678	49200	23259
679	49295	23197
680	49388	23135
681	49466	23064
682	49544	22994
683	49621	22924
684	49698	22854
685	49761	22777
686	49824	22700
687	49887	22623
688	49950	22546
689	50005	22466
690	50076	22393
691	50183	22335
692	50245	22258
693	50325	22189
694	50403	22119
695	50464	22041
696	50559	21979
697	50635	21908
698	50698	21831
699	50762	21755
700	50841	21685
701	50918	21614
702	50982	21538
703	51044	21461
704	51107	21385
705	51166	21307
706	51231	21231
707	51293	21154
708	51345	21073
709	51416	21000
710	51512	20938
711	51575	20861
712	51652	20791
713	51711	20713
714	51778	20638
715	51855	20568
716	51919	20492
717	52028	20434
718	52122	20370
719	52201	20300
720	52263	20224
721	52342	20154
722	52404	20077
723	52484	20007
724	52546	19931
725	52638	19866
726	52702	19790
727	52782	19720
728	52856	19649
729	52920	19573
730	52999	19503
731	53035	19417
732	53108	19345
733	53173	19269
734	53237	19194
735	53298	19118
736	53360	19041
737	53439	18971
738	53500	18895
739	53579	18825
740	53660	18755
741	53718	18678
742	53784	18603
743	53845	18527
744	53907	18451
745	53967	18375
746	54032	18300
747	54097	18225
748	54187	18159
749	54253	18084
750	54320	18010
751	54374	17931
752	54435	17855
753	54501	17781
754	54593	17715
755	54670	17644
756	54734	17570
757	54813	17499
758	54875	17424
759	54935	17348
760	54998	17272
761	55061	17197
762	55142	17128
763	55218	17057
764	55296	16986
765	55390	16920
766	55452	16845
767	55533	16775
768	55597	16701
769	55657	16624
770	55733	16553
771	55814	16484
772	55890	16412
773	55967	16341
774	56031	16267
775	56096	16192
776	56172	16121
777	56237	16047
778	56312	15975
779	56374	15900
780	56444	15827
781	56513	15754
782	56577	15679
783	56656	15609
784	56723	15535
785	56783	15460
786	56860	15389
787	56940	15319
788	57003	15244
789	57082	15173
790	57157	15102
791	57238	15032
792	57299	14957
793	57375	14885
794	57447	14813
795	57547	14748
796	57613	14674
797	57690	14603
798	57753	14528
799	57816	14454
800	57881	14380
801	57940	14304
802	58006	14230
803	58068	14156
804	58144	14084
805	58225	14014
806	58286	13939
807	58350	13865
808	58412	13790
809	58474	13716
810	58554	13645
811	58630	13574
812	58707	13503
813	58785	13432
814	58888	13367
815	58943	13291
816	59021	13220
817	59099	13149
818	59178	13078
819	59239	13003
820	59306	12930
821	59382	12859
822	59462	12788
823	59524	12713
824	59599	12642
825	59661	12567
826	59725	12494
827	59790	12420
828	59869	12349
829	59932	12275
830	59994	12200
831	60071	12129
832	60137	12056
833	60201	11982
834	60275	11910
835	60339	11836
836	60402	11762
837	60480	11691
838	60545	11618
839	60619	11546
840	60701	11476
841	60760	11401
842	60825	11328
843	60889	11254
844	60979	11185
845	61075	11117
846	61154	11046
847	61214	10972
848	61292	10901
849	61388	10833
850	61449	10759
851	61527	10687
852	61606	10616
853	61668	10542
854	61750	10472
855	61811	10398
856	61878	10325
857	61945	10251
858	62018	10179
859	62076	10105
860	62157	10034
861	62219	9960
862	62294	9889
863	62359	9815
864	62421	9742
865	62515	9673
866	62577	9599
867	62640	9525
868	62731	9456
869	62796	9383
870	62872	9311
871	62934	9238
872	63012	9166
873	63074	9093
874	63138	9019
875	63215	8948
876	63277	8874
877	63342	8801
878	63400	8727
879	63468	8654
880	63526	8580
881	63587	8507
882	63653	8434
883	63728	8362
884	63821	8293
885	63871	8218
886	63932	8144
887	63995	8071
888	64060	7998
889	64137	7927
890	64196	7853
891	64257	7780
892	64340	7709
893	64417	7637
894	64494	7566
895	64556	7493
896	64636	7421
897	64699	7348
898	64760	7275
899	64836	7204
900	64916	7132
901	65023	7064
902	65094	6992
903	65157	6919
904	65245	6848
905	65322	6777
906	65401	6705
907	65477	6634
908	65538	6561
909	65605	6488
910	65663	6414
911	65711	6340
912	65805	6270
913	65866	6197
914	65928	6124
915	65994	6051
916	66054	5978
917	66159	5909
918	66212	5835
919	66303	5765
920	66368	5692
921	66444	5621
922	66498	5547
923	66558	5474
924	66632	5402
925	66694	5329
926	66777	5258
927	66836	5185
928	66897	5112
929	66964	5040
930	67055	4969
931	67133	4898
932	67228	4827
933	67291	4755
934	67398	4685
935	67462	4612
936	67536	4540
937	67614	4469
938	67693	4397
939	67787	4326
940	67910	4257
941	67991	4186
942	68083	4115
943	68197	4045
944	68278	3973
945	68367	3902
946	68490	3833
947	68574	3761
948	68647	3689
949	68726	3617
950	68819	3545
951	68898	3473
952	68990	3402
953	69053	3329
954	69135	3257
955	69210	3185
956	69288	3113
957	69350	3040
958	69412	2967
959	69495	2895
960	69586	2824
961	69677	2752
962	69753	2680
963	69832	2607
964	69894	2535
965	69973	2462
966	70097	2392
967	70183	2320
968	70270	2248
969	70334	2175
970	70413	2102
971	70498	2030
972	70601	1959
973	70682	1886
974	70756	1814
975	70835	1741
976	70919	1669
977	70991	1596
978	71071	1524
979	71146	1451
980	71209	1379
981	71289	1306
982	71322	1233
983	71396	1160
984	71458	1088
985	71525	1015
986	71584	942
987	71647	870
988	71773	798
989	71857	725
990	71954	653
991	72032	580
992	72098	508
993	72166	435
994	72276	363
995	72378	290
996	72468	218
997	72563	145
998	72621	72
999	72700	0
